county_city_precinct,dry
Dallas County,
JP1,
JP2,
JP3,
JP4,
JP5,
Addison,
Balch Springs,
Carrollton (Part),
Cedar Hill,
Cockrell Hill,
Combine,"<i class=""fas fa-check""></i>"
Coppell (part),
Dallas (part),
Desoto,
Duncanville,
Farmers Branch,
Ferris (part),
Garland (part),
Glenn Heights (part),
Grand Prairie (part),
Grapevine (part),"<i class=""fas fa-check""></i>"
Highland Park,
Hutchins,
Irving,
Lancaster,
Lewisville (part),
Mesquite (part),
Ovilla,"<i class=""fas fa-check""></i>"
Richardson (part),
Rowlett (part),
Sachse (part),
Seagoville (part),
Sunnyvale,
University Park,
Wilmer,
Wylie (part),
Carrollton (part),
Lewisville (part),
Cedar Hill (part),
Ferris,
Seagoville (part),
Rowlett (part),